Date,USDBRL
15/03/2010,"1,7614"
16/03/2010,"1,7662"
17/03/2010,"1,762"
18/03/2010,"1,771"
19/03/2010,"1,795"
22/03/2010,"1,799"
23/03/2010,"1,7806"
24/03/2010,"1,7933"
25/03/2010,"1,799"
26/03/2010,"1,823"
29/03/2010,"1,8085"
30/03/2010,"1,7938"
31/03/2010,"1,7805"
01/04/2010,"1,7654"
02/04/2010,"1,765"
05/04/2010,"1,7605"
06/04/2010,"1,753"
07/04/2010,"1,777"
08/04/2010,"1,773"
09/04/2010,"1,771"
12/04/2010,"1,7562"
13/04/2010,"1,7135"
14/04/2010,"1,746"
15/04/2010,"1,75"
16/04/2010,"1,7562"
19/04/2010,"1,7603"
20/04/2010,"1,7525"
21/04/2010,"1,748"
22/04/2010,"1,7635"
23/04/2010,"1,7628"
26/04/2010,"1,744"
27/04/2010,"1,765"
28/04/2010,"1,7581"
29/04/2010,"1,731"
30/04/2010,"1,7287"
03/05/2010,"1,731"
04/05/2010,"1,7493"
05/05/2010,"1,7798"
06/05/2010,"1,8341"
07/05/2010,"1,8495"
10/05/2010,"1,7749"
11/05/2010,"1,7755"
12/05/2010,"1,7735"
13/05/2010,"1,77"
14/05/2010,"1,8025"
17/05/2010,"1,8033"
18/05/2010,"1,816"
19/05/2010,"1,8297"
20/05/2010,"1,8848"
21/05/2010,"1,8468"
24/05/2010,"1,8622"
25/05/2010,"1,8685"
26/05/2010,"1,863"
27/05/2010,"1,816"
28/05/2010,"1,8143"
31/05/2010,"1,8144"
01/06/2010,"1,834"
02/06/2010,"1,831"
03/06/2010,"1,8194"
04/06/2010,"1,8389"
07/06/2010,"1,874"
08/06/2010,"1,86"
09/06/2010,"1,842"
10/06/2010,"1,8123"
11/06/2010,"1,8116"
14/06/2010,"1,8017"
15/06/2010,"1,7846"
16/06/2010,"1,7868"
17/06/2010,"1,7854"
18/06/2010,"1,7723"
21/06/2010,"1,7636"
22/06/2010,"1,7669"
23/06/2010,"1,8011"
24/06/2010,"1,7785"
25/06/2010,"1,78"
28/06/2010,"1,782"
29/06/2010,"1,8078"
30/06/2010,"1,7909"
01/07/2010,"1,7989"
02/07/2010,"1,7745"
05/07/2010,"1,7734"
06/07/2010,"1,767"
07/07/2010,"1,765"
08/07/2010,"1,7683"
09/07/2010,"1,7564"
12/07/2010,"1,76"
13/07/2010,"1,756"
14/07/2010,"1,766"
15/07/2010,"1,77"
16/07/2010,"1,7826"
19/07/2010,"1,7863"
20/07/2010,"1,7737"
21/07/2010,"1,7714"
22/07/2010,"1,7602"
23/07/2010,"1,7605"
26/07/2010,"1,7656"
27/07/2010,"1,7607"
28/07/2010,"1,7623"
29/07/2010,"1,7648"
30/07/2010,"1,7585"
02/08/2010,"1,7429"
03/08/2010,"1,7537"
04/08/2010,"1,7526"
05/08/2010,"1,7535"
06/08/2010,"1,7585"
09/08/2010,"1,751"
10/08/2010,"1,76"
11/08/2010,"1,7685"
12/08/2010,"1,7664"
13/08/2010,"1,771"
16/08/2010,"1,7554"
17/08/2010,"1,7478"
18/08/2010,"1,7488"
19/08/2010,"1,7606"
20/08/2010,"1,7585"
23/08/2010,"1,7613"
24/08/2010,"1,7609"
25/08/2010,"1,7649"
26/08/2010,"1,7563"
27/08/2010,"1,7463"
30/08/2010,"1,755"
31/08/2010,"1,7501"
01/09/2010,"1,74"
02/09/2010,"1,7395"
03/09/2010,"1,726"
06/09/2010,"1,7249"
07/09/2010,"1,73"
08/09/2010,"1,7192"
09/09/2010,"1,7232"
10/09/2010,"1,716"
13/09/2010,"1,7165"
14/09/2010,"1,7015"
15/09/2010,"1,7212"
16/09/2010,"1,7175"
17/09/2010,"1,7128"
20/09/2010,"1,7265"
21/09/2010,"1,7245"
22/09/2010,"1,6743"
23/09/2010,"1,7177"
24/09/2010,"1,7125"
27/09/2010,"1,709"
28/09/2010,"1,709"
29/09/2010,"1,7035"
30/09/2010,"1,6961"
01/10/2010,"1,6802"
04/10/2010,"1,6975"
05/10/2010,"1,669"
06/10/2010,"1,684"
07/10/2010,"1,6778"
08/10/2010,"1,6743"
11/10/2010,"1,6613"
12/10/2010,"1,67"
13/10/2010,"1,6525"
14/10/2010,"1,6606"
15/10/2010,"1,6534"
18/10/2010,"1,672"
19/10/2010,"1,69"
20/10/2010,"1,675"
21/10/2010,"1,694"
22/10/2010,"1,706"
25/10/2010,"1,6998"
26/10/2010,"1,7023"
27/10/2010,"1,719"
28/10/2010,"1,7135"
29/10/2010,"1,6975"
01/11/2010,"1,7043"
02/11/2010,"1,701"
03/11/2010,"1,689"
04/11/2010,"1,6747"
05/11/2010,"1,679"
08/11/2010,"1,696"
09/11/2010,"1,696"
10/11/2010,"1,71"
11/11/2010,"1,7215"
12/11/2010,"1,7223"
15/11/2010,"1,72"
16/11/2010,"1,736"
17/11/2010,"1,7262"
18/11/2010,"1,711"
19/11/2010,"1,7165"
22/11/2010,"1,7208"
23/11/2010,"1,7335"
24/11/2010,"1,722"
